-- Cursando
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0052', 'M1004', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0085', 'M1010', '2024-1', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0085', 'M1006', '2024-1', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0001', 'M1004', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0001', 'M1014', '2024-1', 2024, 9.5, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0001', 'M1002', '2023-2', 2023, 3.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0002', 'M1009', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0002', 'M1004', '2024-2', 2024, 0.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0002', 'M1014', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0003', 'M1003', '2023-2', 2023, 1.8, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0003', 'M1008', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0003', 'M1001', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0004', 'M1013', '2023-2', 2023, 5.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0004', 'M1010', '2024-1', 2024, 4.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0004', 'M1011', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0005', 'M1012', '2023-2', 2023, 6.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0005', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0005', 'M1013', '2024-1', 2024, 6.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0006', 'M1004', '2024-2', 2024, 3.2, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0006', 'M1014', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0006', 'M1002', '2024-2', 2024, 7.2, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0007', 'M1009', '2024-2', 2024, 8.3, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0007', 'M1010', '2024-2', 2024, 9.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0007', 'M1006', '2024-2', 2024, 8.9, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0008', 'M1009', '2024-2', 2024, 5.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0008', 'M1004', '2024-2', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0008', 'M1014', '2023-1', 2023, 4.2, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0009', 'M1003', '2023-2', 2023, 1.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0009', 'M1008', '2024-2', 2024, 5.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0009', 'M1015', '2024-1', 2024, 5.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0010', 'M1003', '2024-1', 2024, 6.8, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0010', 'M1008', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0010', 'M1001', '2024-1', 2024, 0.7, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0011', 'M1004', '2023-2', 2023, 8.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0011', 'M1014', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0011', 'M1002', '2024-2', 2024, 8.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0012', 'M1003', '2023-2', 2023, 0.8, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0012', 'M1008', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0012', 'M1001', '2024-1', 2024, 6.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0013', 'M1004', '2023-2', 2023, 9.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0013', 'M1014', '2023-2', 2023, 5.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0013', 'M1002', '2023-2', 2023, 10.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0014', 'M1009', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0014', 'M1010', '2023-1', 2023, 1.3, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0014', 'M1006', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0015', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0015', 'M1014', '2024-2', 2024, 7.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0015', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0016', 'M1002', '2023-2', 2023, 9.5, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0016', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0016', 'M1005', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0017', 'M1012', '2024-1', 2024, 0.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0017', 'M1002', '2023-1', 2023, 9.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0017', 'M1013', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0018', 'M1004', '2023-2', 2023, 4.3, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0018', 'M1014', '2023-2', 2023, 1.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0018', 'M1002', '2024-1', 2024, 5.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0019', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0019', 'M1014', '2024-1', 2024, 8.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0019', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0020', 'M1003', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0020', 'M1008', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0020', 'M1015', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0021', 'M1013', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0021', 'M1010', '2023-2', 2023, 8.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0021', 'M1011', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0022', 'M1013', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0022', 'M1010', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0022', 'M1011', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0023', 'M1004', '2023-1', 2023, 1.4, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0023', 'M1014', '2023-1', 2023, 6.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0023', 'M1002', '2023-1', 2023, 5.5, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0024', 'M1003', '2023-2', 2023, 1.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0024', 'M1008', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0024', 'M1015', '2023-2', 2023, 7.8, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0025', 'M1007', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0025', 'M1008', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0025', 'M1004', '2023-1', 2023, 2.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0026', 'M1013', '2023-2', 2023, 5.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0026', 'M1010', '2023-2', 2023, 5.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0026', 'M1011', '2023-2', 2023, 5.8, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0027', 'M1003', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0027', 'M1008', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0027', 'M1001', '2023-2', 2023, 8.9, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0028', 'M1012', '2024-1', 2024, 5.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0028', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0028', 'M1013', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0030', 'M1007', '2024-2', 2024, 8.9, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0030', 'M1008', '2023-1', 2023, 7.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0030', 'M1004', '2023-1', 2023, 2.5, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0031', 'M1002', '2024-1', 2024, 2.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0031', 'M1004', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0031', 'M1005', '2024-2', 2024, 2.9, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0032', 'M1013', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0032', 'M1010', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0032', 'M1011', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0033', 'M1009', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0033', 'M1010', '2023-1', 2023, 6.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0033', 'M1006', '2024-1', 2024, 0.9, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0034', 'M1009', '2024-1', 2024, 0.9, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0034', 'M1010', '2023-1', 2023, 3.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0034', 'M1006', '2023-1', 2023, 2.2, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0035', 'M1004', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0035', 'M1014', '2023-2', 2023, 5.2, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0035', 'M1002', '2024-1', 2024, 7.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0036', 'M1009', '2024-2', 2024, 8.7, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0036', 'M1010', '2023-1', 2023, 2.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0036', 'M1006', '2023-2', 2023, 9.8, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0037', 'M1007', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0037', 'M1008', '2024-1', 2024, 4.8, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0037', 'M1004', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0038', 'M1003', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0038', 'M1008', '2023-2', 2023, 5.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0038', 'M1001', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0040', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0040', 'M1014', '2024-2', 2024, 3.7, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0040', 'M1002', '2024-1', 2024, 6.8, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0041', 'M1003', '2023-1', 2023, 2.0, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0041', 'M1008', '2023-2', 2023, 3.5, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0041', 'M1015', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0042', 'M1009', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0042', 'M1010', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0042', 'M1006', '2023-2', 2023, 9.2, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0043', 'M1007', '2024-1', 2024, 1.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0043', 'M1008', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0043', 'M1004', '2024-2', 2024, 0.9, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0044', 'M1003', '2024-2', 2024, 9.9, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0044', 'M1008', '2023-2', 2023, 2.3, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0044', 'M1015', '2023-1', 2023, 5.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0045', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0045', 'M1014', '2023-1', 2023, 5.6, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0045', 'M1002', '2023-2', 2023, 5.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0046', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0046', 'M1004', '2024-1', 2024, 2.7, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0046', 'M1005', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0047', 'M1012', '2024-2', 2024, 4.8, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0047', 'M1002', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0047', 'M1013', '2024-2', 2024, 7.2, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0049', 'M1013', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0049', 'M1010', '2023-1', 2023, 8.1, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0049', 'M1011', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0050', 'M1007', '2023-1', 2023, 8.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0050', 'M1008', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0050', 'M1004', '2023-1', 2023, 4.7, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0051', 'M1013', '2024-2', 2024, 0.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0051', 'M1010', '2023-1', 2023, 0.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0051', 'M1011', '2023-1', 2023, 0.1, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0053', 'M1004', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0053', 'M1014', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0053', 'M1002', '2024-2', 2024, 0.2, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0054', 'M1013', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0054', 'M1010', '2023-1', 2023, 10.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0054', 'M1011', '2023-2', 2023, 5.5, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0055', 'M1002', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0055', 'M1004', '2024-1', 2024, 4.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0055', 'M1005', '2023-1', 2023, 8.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0056', 'M1007', '2023-2', 2023, 1.8, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0056', 'M1008', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0056', 'M1004', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0057', 'M1004', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0057', 'M1014', '2024-2', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0057', 'M1002', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0058', 'M1004', '2024-2', 2024, 2.6, 'Reprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0058', 'M1014', '2023-2', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0058', 'M1002', '2024-2', 2024, 7.4, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0059', 'M1003', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0059', 'M1008', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0059', 'M1001', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0060', 'M1013', '2023-2', 2023, 5.3, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0060', 'M1010', '2024-1', 2024, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0060', 'M1011', '2023-1', 2023, NULL, 'Cursando');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0061', 'M1013', '2023-1', 2023, 1.0, 'Reprovado');
